2019-10-01,855
2019-10-02,1774
2019-10-03,1194
2019-10-04,1520
2019-10-05,1958
2019-10-06,1911
2019-10-07,1007
2019-10-08,1575
2019-10-09,1819
2019-10-10,1245
2019-10-11,1547
2019-10-12,1892
2019-10-13,1420
2019-10-14,1657
2019-10-15,1801
2019-10-16,1125
2019-10-17,1332
2019-10-18,1430
2019-10-19,1017
2019-10-20,1856
2019-10-21,1960
2019-10-22,1347
2019-10-23,1235
2019-10-24,1982
2019-10-25,1670
2019-10-26,1929
2019-10-27,1398
2019-10-28,1780
2019-10-29,1861
2019-10-30,1757
2019-10-31,1917
2019-11-01,1477
2019-11-02,1578
2019-11-03,1576
2019-11-04,1827
2019-11-05,1672
2019-11-06,1395
2019-11-07,1550
2019-11-08,1398
2019-11-09,1392
2019-11-10,1564
2019-11-11,1326
2019-11-12,1863
2019-11-13,1867
2019-11-14,1332
2019-11-15,1804
2019-11-16,1770
2019-11-17,1545
2019-11-18,1918
2019-11-19,1766
2019-11-20,1763
2019-11-21,1721
2019-11-22,1993
2019-11-23,1613
2019-11-24,1593
2019-11-25,1554
2019-11-26,1442
2019-11-27,1469
2019-11-28,1471
2019-11-29,1789
2019-11-30,1983
2019-12-01,1859
2019-12-02,1475
2019-12-03,1813
2019-12-04,1711
2019-12-05,1918
2019-12-06,1993
2019-12-07,1609
2019-12-08,1854
2019-12-09,1779
2019-12-10,1785
2019-12-11,1735
2019-12-12,1618
2019-12-13,1902
2019-12-14,1880
2019-12-15,1951
2019-12-16,1622
2019-12-17,1722
2019-12-18,1595
2019-12-19,1888
2019-12-20,1990
2019-12-21,1876
2019-12-22,1925
2019-12-23,1958
2019-12-24,1955
2019-12-25,1955
2019-12-26,1804
2019-12-27,1873
2019-12-28,1737
2019-12-29,1975
2019-12-30,1907
2019-12-31,1769
2020-01-01,1883
2020-01-02,1902
2020-01-03,1923
2020-01-04,1980
2020-01-05,1851
2020-01-06,1889
2020-01-07,1842
2020-01-08,1905
2020-01-09,1933
2020-01-10,1852
2020-01-11,1948
2020-01-12,1982
2020-01-13,1993
2020-01-14,1900
2020-01-15,1975
2020-01-16,1909
2020-01-17,1895
2020-01-18,1943
2020-01-19,1942
2020-01-20,1933
2020-01-21,2000
2020-01-22,1969
2020-01-23,1957
2020-01-24,1988
2020-01-25,1982
2020-01-26,1991
2020-01-27,1990
2020-01-28,2000
2020-01-29,2007
2020-01-30,2010
2020-01-31,2009
2020-02-01,2004
2020-02-02,2006
2020-02-03,2005
2020-02-04,2007
2020-02-05,2006
2020-02-06,2007
2020-02-07,2005
2020-02-08,2004
2020-02-09,2000
2020-02-10,2005
2020-02-11,2008
2020-02-12,2004
2020-02-13,2004
2020-02-14,2005
2020-02-15,2004
2020-02-16,2001
2020-02-17,2006
2020-02-18,2005
2020-02-19,2000
2020-02-20,2000
2020-02-21,2005
2020-02-22,2010
2020-02-23,2004
2020-02-24,2008
2020-02-25,2000
2020-02-26,2010
2020-02-27,2000
2020-02-28,2007
2020-02-29,2003
2020-03-01,2001
2020-03-02,2004
2020-03-03,2007
2020-03-04,2004
2020-03-05,2002
2020-03-06,2004
2020-03-07,2009
2020-03-08,2004
2020-03-09,2003
2020-03-10,2009
2020-03-11,2001
2020-03-12,2005
2020-03-13,2000
2020-03-14,2006
2020-03-15,2009
2020-03-16,2010
2020-03-17,2010
2020-03-18,2004
2020-03-19,2007
2020-03-20,2005
2020-03-21,2010
2020-03-22,2002
2020-03-23,2008
2020-03-24,2006
2020-03-25,2008
2020-03-26,2004
2020-03-27,2005
2020-03-28,2004
2020-03-29,2005
2020-03-30,2002
2020-03-31,2002
2020-04-01,2010
2020-04-02,2002
2020-04-03,2006
2020-04-04,2001
2020-04-05,2001
2020-04-06,2000
2020-04-07,2005
2020-04-08,2010
2020-04-09,2000
2020-04-10,2010
2020-04-11,2010
2020-04-12,2007
2020-04-13,2006
2020-04-14,2009
2020-04-15,2000
2020-04-16,2001
2020-04-17,2000
2020-04-18,2010
2020-04-19,2009
2020-04-20,2003
2020-04-21,2010
2020-04-22,2003
2020-04-23,2000
2020-04-24,2003
2020-04-25,2002
2020-04-26,2006
2020-04-27,2000
2020-04-28,2001
2020-04-29,2003
2020-04-30,2008
2020-05-01,2009
2020-05-02,2001
2020-05-03,2002
2020-05-04,2008
2020-05-05,2000
2020-05-06,2008
2020-05-07,2006
2020-05-08,2007
2020-05-09,2007
2020-05-10,2000
2020-05-11,2003
2020-05-12,2001
2020-05-13,2002
2020-05-14,2001
2020-05-15,2002
2020-05-16,2000
2020-05-17,2002
2020-05-18,2002
2020-05-19,2004
2020-05-20,2009
2020-05-21,2010
2020-05-22,2005
2020-05-23,2002
2020-05-24,2007
2020-05-25,2006
2020-05-26,2007
2020-05-27,2000
2020-05-28,2008
2020-05-29,2000
2020-05-30,2003
2020-05-31,2009
2020-06-01,2002
2020-06-02,2003
2020-06-03,2007
2020-06-04,2003
2020-06-05,2009
2020-06-06,2003
2020-06-07,2008
2020-06-08,2002
2020-06-09,2000
2020-06-10,2003
2020-06-11,2006
2020-06-12,2009
2020-06-13,2007
2020-06-14,2009
2020-06-15,2000
2020-06-16,2002
2020-06-17,2009
2020-06-18,2010
2020-06-19,2010
2020-06-20,2006
2020-06-21,2006
2020-06-22,2005
2020-06-23,2001
2020-06-24,2001
2020-06-25,2003
2020-06-26,2004
2020-06-27,2009
2020-06-28,2007
2020-06-29,2000
2020-06-30,2004
2020-07-01,2000
2020-07-02,2005
2020-07-03,2000
2020-07-04,2001
2020-07-05,2005
2020-07-06,2000
2020-07-07,2007
2020-07-08,2000
2020-07-09,2004
2020-07-10,2005
2020-07-11,2000
2020-07-12,2004
2020-07-13,2009
2020-07-14,2008
2020-07-15,2004
2020-07-16,2000
2020-07-17,2002
2020-07-18,2009
2020-07-19,2010
2020-07-20,2007
2020-07-21,2003
2020-07-22,2009
2020-07-23,2009
2020-07-24,2006
2020-07-25,2003
2020-07-26,2006
2020-07-27,2002
2020-07-28,2000
2020-07-29,2008
2020-07-30,2003
2020-07-31,2003
2020-08-01,2004
2020-08-02,2005
2020-08-03,2006
2020-08-04,2009
2020-08-05,2002
2020-08-06,2004
2020-08-07,2000
2020-08-08,2006
2020-08-09,2010
2020-08-10,2006
2020-08-11,2007
2020-08-12,2005
2020-08-13,2006
2020-08-14,2005
2020-08-15,2010
2020-08-16,2006
2020-08-17,2006
2020-08-18,2009
2020-08-19,2006
2020-08-20,2004
